ID,Morph,Body length (mm),N1,H1(mm ),L1 (mm ),W2(mm ),H 2 (mm ),L2(mm ),W3 (mm ),H3  (mm ),L3 (mm ),W4 (mm ),H4  (mm ),L4 (mm ),W5 (mm ),H5  (mm ),L5 (mm ),W6 (mm ),H6  (mm ),L6 (mm ),Eye D1 , Eye D2 ,Genetic trait,Maturation,Age,Sex,Habitat,Head size
TI130068,Dwarf,118,11,1.62,0.85,0.62,1,0.77,0.77,1.38,1.54,1.62,1.54,2.31,1.54,1.38,2.23,0.69,0.85,1.46,6.39,7.49,Pure,Mature,7,Female,Profundal,3857.90695
TI130070,Dwarf,131,11,1.54,0.85,0.62,0.92,0.77,0.85,1.23,1.54,1.69,1.62,2.54,1.62,1.31,2.08,0.85,0.77,1.15,6.78,7.69,Pure,Mature,7,Female,Profundal,4199.98044
TI130093,Dwarf,107,11,1.23,0.85,0.62,0.85,0.85,0.77,1.54,1.46,1.54,1.77,2.38,1.62,1.46,2.08,0.77,0.77,1.46,5.81,6.72,Pure,Mature,7,Female,Profundal,3502.63193
TI130167,Dwarf,134,11,1.54,0.85,0.62,0.85,0.62,0.77,1.46,1.62,1.69,1.69,2.38,1.46,1.31,2.38,0.92,0.77,1.38,6.28,7.35,Pure,Mature,7,Male,Profundal,2419.77978
TI130170,Dwarf,156,12,1.77,0.92,0.62,1.08,0.92,0.85,1.38,1.62,1.85,1.85,2.69,1.77,1.69,2.46,0.92,0.69,1.46,6.45,6.63,Pure,Mature,5,Male,Profundal,4091.61958
TI130230,Dwarf,142,11,1.38,0.85,0.69,0.85,0.85,0.92,1.54,1.92,2,1.85,2.92,1.85,1.46,2.77,0.85,0.92,1.46,7.39,8.71,Pure,Mature,7,Male,Profundal,4770.90389
TI130234,Dwarf,113,11,1.31,0.85,0.62,0.92,0.85,0.85,1.38,1.62,1.54,1.62,2.31,1.54,1.31,2,0.77,0.77,1.31,6.21,7.11,Pure,Mature,5,Male,Profundal,3764.55371
TI130235,Dwarf,89,9,0.77,0.69,0.46,0.92,0.77,0.54,1.15,1,1.15,1.15,1.77,1.23,0.77,1.31,0.69,0.62,1.08,4.04,5,Pure,Immature,3,Female,Profundal,3311.2234
TI130242,Dwarf,117,13,1.77,1,0.62,1.15,0.77,0.92,1.77,2,1.77,1.77,2.54,1.77,1.54,2.62,0.85,0.92,1.54,6.62,7.69,Pure,Immature,7,Male,Profundal,4503.75504
TI130320,Dwarf,86,7,1.23,0.54,0.69,0.92,0.62,0.69,1.46,1.54,1.46,1.62,2.31,1.62,1.15,1.85,0.92,0.62,1.62,4.18,5.63,Pure,Mature,4,Male,Profundal,3667.49681
TI130321,Dwarf,75,8,0.92,0.62,0.54,0.77,0.69,0.62,1.15,1.08,1.31,1.31,2,1.23,0.77,1.38,0.77,0.62,1.15,4.42,4.89,Pure,Immature,3,Male,Profundal,1402.90918
TI130357,Dwarf,91,9,1.08,0.69,0.62,0.85,0.62,0.62,1.23,1.46,1.38,1.15,2,1.46,0.92,1.69,0.77,1.31,1.54,4.2,4.99,Pure,Immature,3,Female,Profundal,3672.63323
TI130359,Dwarf,117,10,1.38,0.77,0.62,0.85,0.69,0.77,1.46,1.38,1.38,1.23,2,1.38,1.15,1.69,0.92,0.62,1.38,5.48,6.37,Pure,Mature,4,Female,Profundal,3910.91599
TI130095,Dwarf,151,10,1.69,0.77,0.77,1.08,0.77,1,1.62,2,2.08,1.92,2.62,1.77,1.46,2.69,0.69,1.08,2,7.69,8.4,Hybrid,Mature,4,Male,Profundal,4605.5333
TI130231,Dwarf,125,12,1.85,0.92,0.77,1.08,0.77,0.92,1.62,1.85,1.85,1.85,2.85,1.77,1.54,2.54,0.85,0.92,1.54,6.79,7.74,Hybrid,Mature,7,Male,Profundal,3932.20783
TI130232,Dwarf,118,10,1.15,0.77,0.62,1,0.77,0.85,1.31,1.23,1.69,1.62,2.38,1.69,1.15,2.15,1,0.85,1.54,6.62,7.59,Hybrid,Mature,6,Female,Profundal,4549.52332
